line_code,station_code,stop_sequence
NSL,NS1,1
NSL,NS2,2
NSL,NS3,3
NSL,NS4,4
NSL,NS5,5
NSL,NS7,6
NSL,NS8,7
NSL,NS9,8
NSL,NS10,9
NSL,NS11,10
NSL,NS12,11
NSL,NS13,12
NSL,NS14,13
NSL,NS15,14
NSL,NS16,15
NSL,NS17,16
NSL,NS18,17
NSL,NS19,18
NSL,NS20,19
NSL,NS21,20
NSL,NS22,21
NSL,NS23,22
NSL,NS24,23
NSL,NS25,24
NSL,NS26,25
NSL,NS27,26
NSL,NS28,27
EWL,EW1,1
EWL,EW2,2
EWL,EW3,3
EWL,EW4,4
EWL,EW5,5
EWL,EW6,6
EWL,EW7,7
EWL,EW8,8
EWL,EW9,9
EWL,EW10,10
EWL,EW11,11
EWL,EW12,12
EWL,EW13,13
EWL,EW14,14
EWL,EW15,15
EWL,EW16,16
EWL,EW17,17
EWL,EW18,18
EWL,EW19,19
EWL,EW20,20
EWL,EW21,21
EWL,EW22,22
EWL,EW23,23
EWL,EW24,24
EWL,EW25,25
EWL,EW26,26
EWL,EW27,27
EWL,EW28,28
EWL,EW29,29
EWL,EW30,30
EWL,EW31,31
EWL,EW32,32
EWL,EW33,33
CG,CG0,1
CG,CG1,2
CG,CG2,3
NEL,NE1,1
NEL,NE3,2
NEL,NE4,3
NEL,NE5,4
NEL,NE6,5
NEL,NE7,6
NEL,NE8,7
NEL,NE9,8
NEL,NE10,9
NEL,NE11,10
NEL,NE12,11
NEL,NE13,12
NEL,NE14,13
NEL,NE15,14
NEL,NE16,15
NEL,NE17,16
CCL,CC1,1
CCL,CC2,2
CCL,CC3,3
CCL,CC4,4
CCL,CC5,5
CCL,CC6,6
CCL,CC7,7
CCL,CC8,8
CCL,CC9,9
CCL,CC10,10
CCL,CC11,11
CCL,CC12,12
CCL,CC13,13
CCL,CC14,14
CCL,CC15,15
CCL,CC16,16
CCL,CC17,17
CCL,CC18,18
CCL,CC19,19
CCL,CC20,20
CCL,CC21,21
CCL,CC22,22
CCL,CC23,23
CCL,CC24,24
CCL,CC25,25
CCL,CC26,26
CCL,CC27,27
CCL,CC28,28
CCL,CC29,29
CCL,CE1,30
CCL,CE2,31
DTL,DT1,1
DTL,DT2,2
DTL,DT3,3
DTL,DT5,4
DTL,DT6,5
DTL,DT7,6
DTL,DT8,7
DTL,DT9,8
DTL,DT10,9
DTL,DT11,10
DTL,DT12,11
DTL,DT13,12
DTL,DT14,13
DTL,DT15,14
DTL,DT16,15
DTL,DT17,16
DTL,DT18,17
DTL,DT19,18
DTL,DT20,19
DTL,DT21,20
DTL,DT22,21
DTL,DT23,22
DTL,DT24,23
DTL,DT25,24
DTL,DT26,25
DTL,DT27,26
DTL,DT28,27
DTL,DT29,28
DTL,DT30,29
DTL,DT31,30
DTL,DT32,31
DTL,DT33,32
DTL,DT34,33
DTL,DT35,34
DTL,DT36,35
DTL,DT37,36
TEL,TE1,1
TEL,TE2,2
TEL,TE3,3
TEL,TE4,4
TEL,TE5,5
TEL,TE6,6
TEL,TE7,7
TEL,TE8,8
TEL,TE9,9
TEL,TE10,10
TEL,TE11,11
TEL,TE12,12
TEL,TE14,13
TEL,TE15,14
TEL,TE16,15
TEL,TE17,16
TEL,TE18,17
TEL,TE19,18
TEL,TE20,19
TEL,TE21,20
TEL,TE22,21
TEL,TE22A,22
TEL,TE23,23
TEL,TE24,24
TEL,TE25,25
TEL,TE26,26
TEL,TE27,27
TEL,TE28,28
TEL,TE29,29
TEL,TE30,30
TEL,TE31,31
BP,BP1,1
BP,BP2,2
BP,BP3,3
BP,BP4,4
BP,BP5,5
BP,BP6,6
BP,BP7,7
BP,BP8,8
BP,BP9,9
BP,BP10,10
BP,BP11,11
BP,BP12,12
BP,BP13,13
BP,BP14,14
SW,STC,1
SW,SW1,2
SW,SW2,3
SW,SW3,4
SW,SW4,5
SW,SW5,6
SW,SW6,7
SW,SW7,8
SW,SW8,9
SE,STC,1
SE,SE1,2
SE,SE2,3
SE,SE3,4
SE,SE4,5
SE,SE5,6
PW,PTC,1
PW,PW1,2
PW,PW2,3
PW,PW3,4
PW,PW4,5
PW,PW5,6
PW,PW6,7
PW,PW7,8
PE,PTC,1
PE,PE1,2
PE,PE2,3
PE,PE3,4
PE,PE4,5
PE,PE5,6
PE,PE6,7
PE,PE7,8
