STN_NAM,STN_NAM_DE,TYP_CD,TYP_CD_DES,latitude,longitude
,CORAL EDGE LRT STATION,0,LRT,1.3939263503930235,103.9125635349181
,DHOBY GHAUT MRT STATION,0,MRT,1.2990442028345541,103.84583316085424
,LAVENDER MRT STATION,0,MRT,1.3073717304002292,103.86283780136505
,HOUGANG MRT STATION,0,MRT,1.3712811748271885,103.89234753407003
,BEDOK MRT STATION,0,MRT,1.3240113188551723,103.93017252011197
,SUB STATION,0,MRT,1.3344440445752268,103.96375092180261
,EXPO MRT STATION,0,MRT,1.3352521079319697,103.96237940514271
,PUNGGOL LRT STATION,0,LRT,1.4051667769882665,103.90239279938734
,SAM KEE LRT STATION,0,LRT,1.409613763308718,103.90483111310614
,DHOBY GHAUT MRT STATION,0,MRT,1.2986992881274089,103.8461156015493
,JURONG EAST MRT STATION,0,MRT,1.3332090244332928,103.74226323346231
,BUKIT BROWN MRT STATION,0,MRT,1.3337318981335753,103.83071216416512
,PIONEER MRT STATION,0,MRT,1.3375865012918915,103.69731852710551
,TAMPINES EAST MRT STATION,0,MRT,1.3562130023087855,103.95480497240979
,TUAS CRESCENT MRT STATION,0,MRT,1.3210532515585265,103.64906349723185
,KALLANG MRT STATION,0,MRT,1.3113966417340222,103.87131526318683
,SOO TECK LRT STATION,0,LRT,1.4052096470543078,103.8972344082514
,SERANGOON MRT STATION,0,MRT,1.3496172241135875,103.87363463478192
,FAJAR LRT STATION,0,LRT,1.3845326781262761,103.77083795599646
,KENT RIDGE MRT STATION,0,MRT,1.293400938756311,103.78449793825779
,MAYFLOWER MRT STATION,0,MRT,1.3721031073430017,103.83679074478793
,YEW TEE MRT STATION,0,MRT,1.3975496332844308,103.74740209271302
,TANJONG RHU MRT STATION,0,MRT,1.2972145279177665,103.8734517067014
,FARRER ROAD MRT STATION,0,MRT,1.317454570869285,103.80748912471802
,BUANGKOK MRT STATION,0,MRT,1.3827715836425647,103.89309246859287
,TAMPINES MRT STATION,0,MRT,1.353289193639798,103.94515900789133
,TECK LEE LRT STATION,0,LRT,1.4128738704575678,103.90662621180077
,RIVIERA LRT STATION,0,LRT,1.3946364786961811,103.916223790613
,BUKIT GOMBAK MRT STATION,0,MRT,1.3586719216444605,103.75191010888437
,JOO KOON MRT STATION,0,MRT,1.327716859204117,103.67838693700719
,NICOLL HIGHWAY MRT STATION,0,MRT,1.2998028299466056,103.86363313778921
,SENGKANG MRT DEPOT,0,MRT,1.3876258702158817,103.8859193985441
,KOVAN MRT STATION,0,MRT,1.3601798706537391,103.88509111575803
,SOUTH VIEW LRT STATION,0,LRT,1.3802982859065815,103.74529179981995
,PUNGGOL MRT STATION,0,MRT,1.4051325908663492,103.90237397814656
,PUNGGOL POINT LRT STATION,0,LRT,1.416910852609271,103.90653551132289
,SAMUDERA LRT STATION,0,LRT,1.4158186972361735,103.90208724238458
,BOCC,0,MRT,,
,CHINATOWN MRT STATION,0,MRT,1.2846275213639562,103.84455749331792
,CHINATOWN MRT STATION,0,MRT,1.284357551304128,103.84347988609113
,THANGGAM LRT STATION,0,LRT,1.3974369932223392,103.87565537167204
,HALIFAX SUB STATION CABLE TROUGH,0,MRT,1.3109634935524588,103.84544890021748
,OASIS LRT STATION,0,LRT,1.402350879405536,103.91263185178194
,HILLVIEW MRT STATION,0,MRT,1.3623400897402924,103.76742925201644
,BUKIT PANJANG LRT DEPOT,0,LRT,1.3803143854875615,103.76012308561376
,HAVELOCK MRT STATION,0,MRT,1.2884503885116734,103.83357369642015
,KADALOOR LRT STATION,0,LRT,1.399638509574786,103.91639497887645
,COVE LRT STATION,0,LRT,1.399361706778325,103.90591744029139
,TELOK BLANGAH MRT STATION,0,MRT,1.270581786288028,103.80973975588437
,TECK WHYE LRT STATION,0,LRT,1.376659293665111,103.75369963012872
,KIM CHUAN DEPOT,0,MRT,1.3417695939153738,103.88893843095197
,ORCHARD MRT STATION,0,MRT,1.3029609984882746,103.8314856840855
,JALAN BESAR MRT STATION,0,MRT,1.3053804825866295,103.8554350404587
,PAYA LEBAR MRT STATION,0,MRT,1.317369401084085,103.89227219427895
,BAYFRONT MRT STATION,0,MRT,1.2818719113704498,103.85907645403383
,MARINE PARADE MRT STATION,0,MRT,1.3028651366969082,103.90550825048429
,QUEENSTOWN MRT STATION,0,MRT,1.2946113321395523,103.80604523688713
,HARBOURFRONT MRT STATION,0,MRT,1.2654573482526796,103.8214507350026
,SHENTON WAY MRT STATION,0,MRT,1.277619878738321,103.85062726528399
,JELAPANG LRT STATION,0,LRT,1.3866966743967417,103.76450057699422
,UBI MRT STATION,0,MRT,1.3299552645064385,103.89924886679698
,MOUNTBATTEN MRT STATION,0,MRT,1.3061937869690365,103.88254701508014
,DHOBY GHAUT MRT STATION,0,MRT,1.2997033928215525,103.84548639485499
,KING ALBERT PARK MRT STATION,0,MRT,1.3356381112348439,103.78387153211574
,MAXWELL MRT STATION,0,MRT,1.2805933534578453,103.84392208306434
,LABRADOR PARK MRT STATION,0,MRT,1.2723234940614532,103.80292770503442
,MARINA BAY MRT STATION,0,MRT,1.275950352945177,103.8551451100585
,POTONG PASIR MRT STATION,0,MRT,1.3313873885080476,103.86906995801118
,MOUNT PLEASANT MRT STATION,0,MRT,1.328547113361111,103.83506011908331
,BAYSHORE MRT STATION,0,MRT,1.3134784662510572,103.94343545041478
,STADIUM MRT STATION,0,MRT,1.3028540998170428,103.87534796372141
,ORCHARD MRT STATION,0,MRT,1.3039377453461836,103.83221933054215
,ULU PANDAN DEPOT,0,MRT,1.3293220667320107,103.76010191416083
,WOODLANDS SOUTH MRT STATION,0,MRT,1.4270954764965578,103.79389595214386
,MANDAI DEPOT,0,MRT,1.4195586238273126,103.79663149425102
